COURSECODE,COURSENAME,COURSENAMEENG,CREDITTOTAL
ED060021,นันทนาการเบื้องต้น,INTRODUCTION TO RECREATION,2
ED060022,กิจกรรมพลศึกษา  (มวยไทย),PHYSICAL EDUCATION ACTIVITY (MUAY THAI),1
ED215002,การถ่ายภาพสร้างสรรค์,CREATIVE PHOTOGRAPHY,2
FA110461,ศิลปะจากเศษวัสดุ,Art Works From Scrap Materials,3
FA110462,การผสมศาสตร์สู่การสร้างสรรค์,Mixed sciences to creativity,3
FA120407,ภาพยนตร์และสื่อดิจิทัลออนไลน์,Film and Digital Media Content Online,3
FA120408,การจัดวางเพื่อการออกแบบ,Layout for Design,3
FA301201,การขับร้องประสานเสียงขั้นพื้นฐาน,BASIC CHORAL SINGING,2
FA301202,การปฏิบัติเครื่องดนตรีขั้นพื้นฐาน,BASIC INSTRUMENTAL PLAYING,2
FA301203,ดนตรีสมัยนิยม,POPULAR MUSIC,2
GE141166,ศาสตร์ของความสุข,SCIENCE OF HAPPINESS,3
GE142145,ภาวะผู้นําและการจัดการ,LEADERSHIP AND MANAGEMENT,3
GE151144,พหุวัฒนธรรม,MULTICULTURALISM,3
GE151162,ความเป็นพลเมืองในสังคมประชาธิปไตย,CITIZENSHIP IN DEMOCRATIC SOCIETY,3
GE153158,วิถีชุมชนและการเรียนรู้ชุมชน,COMMUNITY WAYS OF LIFE AND COMMUNITY LEARNING,3
GE321415,ทักษะการเรียนรู้,LEARNING SKILLS,3
GE341511,การคิดเชิงคำนวณและเชิงสถิติสำหรับเอบีซีดี,Computational & Statistical Thinking for ABCD,3
GE362785,การคิดเชิงสร้างสรรค์และการแก้ปัญหา,CREATIVE THINKING AND PROBLEM SOLVING,3
GE363789,ผู้ประกอบการสร้างสรรค์,CREATIVE ENTREPRENEURS,3
GE363879,ผู้ประกอบการนวัตกรรม,INNOVATIVE ENTREPRENEURS,3
GE821245,สมาธิเพื่อพัฒนาชีวิต,MEDITATION FOR LIFE DEVELOPMENT,3
HS311001,ภาษาจีน 1,CHINESE I,3
HS321001,ภาษาญี่ปุ่นขั้นต้น 1,BASIC JAPANESE I,3
HS321002,ภาษาญี่ปุ่นขั้นต้น 2,BASIC JAPANESE II,3
HS331001,ภาษาเกาหลีขั้นต้น 1,Basic Korean I,3
HS331002,ภาษาเกาหลี 2,KOREAN II,3
HS423115,สังคมวิทยาการเมือง,POLITICAL SOCIOLOGY,3
HS711101,ภาษาสเปนขั้นพื้นฐาน 1,BASIC SPANISH I,3
HS721101,ภาษาเยอรมันเพื่อการสื่อสาร  1,GERMAN FOR COMMUNICATION I,3
HS731101,ภาษาฝรั่งเศสพื้นฐาน 1,FUNDAMENTAL FRENCH I,3
HS801103,อารยธรรมโลก,World Civilization,3
HS801109,ประวัติศาสตร์ยุโรปสมัยใหม่,HISTORY OF MODERN EUROPE,3
HS801113,โบราณคดีในประเทศไทย,ARCHAEOLOGY IN THAILAND,3
HS801114,ประวัติศาสตร์กับภาพยนตร์,HISTORY AND FILMS,3
HS801116,ประวัติศาสตร์ยุโรปสมัยกลาง,MEDIEVAL EUROPE HISTORY,3
HS821103,ตรรกศาสตร์,LOGIC,3
HS821106,ประวัติปรัชญาตะวันตก,HISTORY OF WESTERN PHILOSOPHY,3
HS821107,ปรัชญาในวรรณกรรมอาเซียน,PHILOSOPHY IN ASIAN LITERATURE,3
HS821109,จริยศาสตร์,ETHICS,3
HS821110,ปรัชญาอินเดีย,Indian Philosophy,3
HS821116,สุนทรียศาสตร์,AESTHETICS,3
HS821117,ปรัชญากับวิถีชีวิต,PHILOSOPHY AND WAY OF LIFE,3
HS821118,อภิปรัชญา,Metaphysics,3
HS821203,ศาสนาขั้นแนะนำ,INTRODUCTION TO RELIGION,3
HS821205,ศาสนากับสังคมและวัฒนธรรม,RELIGION AND SOCIETY AND CULTURE,3
HS821207,พุทธศาสนากับสังคมและวัฒนธรรม,BUDDHISM AND THAI SOCIETY AND CULTURE,3
HS821208,พุทธศาสนากับชีวิตประจำวัน,BUDDHISM AND DAILY LIFE,3
HS821219,พุทธศาสนาและสังคมและวัฒนธรรมไทย,BUDDHISM ON THAI SOCIETY AND CULTURE,3
HS821220,วัฒนธรรมไทย,Thai Culture,3
HS821222,ปรัชญาการเมือง,POLITICAL PHILOSOPHY,3
HS921101,ภาษาลาว 1,LAOTIAN I,3
HS941101,ภาษาเวียดนาม 1,VIETNAMESE I,3
LI101001,ภาษาอังกฤษ 1,ENGLISH I,3
LI101002,ภาษาอังกฤษ 2,ENGLISH II,3
LI102003,ภาษาอังกฤษ 3,ENGLISH III,3
LI102004,ภาษาอังกฤษ 4,ENGLISH IV,3
LI203010,ภาษาอังกฤษสำหรับวิทยาศาสตร์และเทคโนโลยี,ENGLISH FOR SCIENCES AND TECHNOLOGY,3
LI903001,ทักษะสำหรับการสอบภาษาอังกฤษเชิงวิชาการ,Skills for Academic English Tests,3
LI903002,ภาษาอังกฤษเพื่อโอกาสในการทำงาน,English for Job Opportunities,3
MD530207,การจัดการชีวิต,Life Management,2
MD530208,การให้คำปรึกษาในชีวิตประจำวัน,Counseling in daily life,2
MD600201,การจัดการภาวะฉุกเฉินทางการแพทย์ในชีวิตประจำวัน,BASIC MEDICAL EMERGENCY MANAGEMENT IN DAILY LIFE,2
MD751226,การดูแลการบาดเจ็บ,Injury Care,2
PH511101,แนะนําการสาธารณสุข,INTRODUCTION OF PUBLIC HEALTH,3
PH515330,ความรอบรู้ด้านสุขภาพทางเพศ,Sexual Health Literacy,3
SC001002,วิทยาศาสตร์ เทคโนโลยี และนวัตกรรมเพื่อการพัฒนาที่ยั่งยืน,SCIENCE TECHNOLOGY AND INNOVATION FOR SUSTAINABLE DEVELOPMENT,3
SC002001,การเตรียมความพร้อมก่อนปฏิบัติงานสหกิจศึกษาสำหรับนักศึกษาคณะวิทยาศาสตร์,ORIENTATION TO CO-OPERATIVE EDUCATION FOR SCIENCE STUDENTS,1
SC002002,นิติวิทยาศาสตร์เบื้องต้น,ELEMENTARY TO FORENSIC SCIENCE,3
SC002004,หลักมูลการระบุรูปพรรณส่วนบุคคล,FUNDAMENTAL OF PERSONAL IDENTIFICATION,3
SC002005,สารพิษชีวภาพทางนิติวิทยาศาสตร์,BIOTOXINS IN FORENSIC SCIENCE,3
SC002006,พิษวิทยาในนิติวิทยาศาสตร์ขั้นแนะนำ,INTRODUCTION TO TOXICOLOGY IN FORENSIC SCIENCE,3
SC002007,เทคนิคทางชีวโมเลกุลสำหรับนิติวิทยาศาสตร์ยุคใหม่,Molecular Techniques in the New Era of Forensic Science,3
SC002104,วิทยาศาสตร์กายภาพ,PHYSICAL SCIENCE,3
SC101009,ชีววิทยาสำหรับวิทยาศาสตร์กายภาพ,BIOLOGY FOR PHYSICAL SCIENCE,3
SC101010,ปฏิบัติการชีววิทยาสำหรับวิทยาศาสตร์กายภาพ,BIOLOGY FOR PHYSICAL SCIENCE LABORATORY,1
SC201006,ปฏิบัติการเคมีทั่วไป,GENERAL CHEMISTRY LABORATORY,1
SC201008,เคมีหลักมูล,FUNDAMENTAL CHEMISTRY,3
SC310001,การเขียนโปรแกรมคอมพิวเตอร์ 1,COMPUTER PROGRAMMING I,3
SC310002,โครงสร้างข้อมูล,DATA STRUCTURES,3
SC310003,ระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN,3
SC310004,ปฎิบัติการระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN LABORATORY,1
SC310006,การพัฒนาโปรแกรมประยุกต์สำหรับอุปกรณ์เคลื่อนที่และเว็บ,Mobile and Web Application Development,3
SC311001,วิทยาการคอมพิวเตอร์หลักมูล,FUNDAMENTALS OF COMPUTER SCIENCE,3
SC311002,การเขียนโปรแกรมเชิงโครงสร้างสำหรับวิทยาการคอมพิวเตอร์,STRUCTURED PROGRAMMING FOR COMPUTER SCIENCE,3
SC311003,การเขียนโปรแกรมเชิงวัตถุ,OBJECT – ORIENTED PROGRAMMING,3
SC311004,สถาปัตยกรรมระบบคอมพิวเตอร์,COMPUTER SYSTEMS ARCHITECTURE,3
SC311301,การพัฒนาโปรแกรมประยุกต์บนเว็บ,WEB APPLICATION DEVELOPMENT,3
SC311503,การเขียนโปรแกรมสคริปต์,SCRIPT PROGRAMMING,3
SC312001,โครงสร้างข้อมูล,DATA STRUCTURES,3
SC312002,การโต้ตอบระหว่างมนุษย์และคอมพิวเตอร์,HUMAN COMPUTER INTERACTION,3
SC312003,ระบบจัดการฐานข้อมูลและการออกแบบฐานข้อมูล,DATABASE MANAGEMENT SYSTEM AND DATABASE DESIGN,3
SC312004,ปฏิบัติการระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN LABORATORY,1
SC312005,เครือข่ายคอมพิวเตอร์,COMPUTER NETWORKS,3
SC312006,การวิเคราะห์ขั้นตอนวิธี,ANALYSIS OF ALGORITHM,3
SC312101,การเรียนรู้เชิงเครื่องจักรสำหรับวิทยาการข้อมูล,MACHINE LEARNING FOR DATA SCIENCE,3
SC312102,การจัดการความรู้,KNOWLEDGE MANAGEMENT,3
SC312104,วิทยาการข้อมูลขั้นแนะนำ,INTRODUCTION TO DATA SCIENCE,3
SC312105,วิศวกรรมข้อมูลขั้นพื้นฐาน,BASICS OF DATA ENGINEERING,3
SC312201,พื้นฐานการเขียนโปรแกรมเกม,BASIC OF GAME PROGRAMMING,3
SC312302,เทคโนโลยีการออกแบบเว็บ,WEB DESIGN TECHNOLOGIES,3
SC312303,การพัฒนาแอปพลิเคชันบนอุปกรณ์เคลื่อนที่,MOBILE APPLICATION DEVELOPMENT,3
SC312503,การแข่งขันเขียนโปรแกรมคอมพิวเตอร์,Computer Programming Contest,3
SC313001,ระบบปฏิบัติการและการเขียนโปรแกรมซีสเต็มคอล,OPERATING SYSTEMS AND SYSTEM CALLS PROGRAMMING,3
